Personnage,Réplique
PERCEVAL,Un chien que vous avez entraîné ?
KARADOC,Mais vous êtes sûr qu’il va tenir le choc ?
PERCEVAL,Qu’est-ce qu’on soutient ?
KARADOC,Il a même pas eu le temps de japper…
PERCEVAL,L’autre était quand même horrible !
KARADOC,Comment ça ?
PERCEVAL,Vous allez pas le faire combattre ?
PERCEVAL,On soutient ?
KARADOC,Je pense que le chien d’en face a dû être déstabilisé.
ARTHUR,Je peux avoir un peu de…
VENEC,Sire ? C’est vous ?
BOHORT,Chut ! Nous sommes ici incognito !
BOHORT,On est venus se faire une opinion sur votre marchandise…
BOHORT,Nous n’avons pas besoin de vos avis !
VENEC,Qu’est-ce qui vous ferait plaisir ?
ARTHUR,Bohort s’est mis en tête d’acheter des esclaves…
BOHORT,Surtout pour le service.
ARTHUR,Je m’en fous.
BOHORT,Oh non ! Une esclave toute neuve !
BOHORT,Sire ! Ça y est ! J’ai trouvé quelqu’un pour la signalétique !
LÉODAGAN,Mais… C’est pas celui de d’habitude !
ARTHUR,J’aime pas ça… Qu’est-ce qu’ils maquillent ?
HERVEIG,Il glande. Qu’est-ce que vous voulez qu’il fasse ?
BOHORT,Qu’est-ce qu’on peut faire ?
HERVEIG,Vous voulez que j’entame la conversation ?
LÉODAGAN,Mais qu’est-ce que vous allez leur dire ?
ARTHUR,« Bienvenue » ? Pourquoi vous leur dites pas de venir casser une graine à la maison ?
HERVEIG,C’est juste pour les faire réagir !
BOHORT,Qu’est-ce que vous leur dites ?
ARTHUR,Qu’est-ce qu’ils disent ?
HERVEIG,Ils disent : « C’est ce qu’on va voir. »
ARTHUR,Quoi ?
BOHORT,Il se passe… il se passe qu’ils se mettent en formation !
ARTHUR,Ah non mais c’est pas vrai !
LÉODAGAN,Mais annulez le truc ! Faites quelque chose !
BOHORT,Ils font de nouveaux signes !
HERVEIG,(observant) — « Nous sommes prêts pour le… »
ARTHUR,Pour le quoi ?
LÉODAGAN,Mais qu’est-ce que vous bavez ? Ils ont pas dit : « Nous sommes prêts pour le. » !
BOHORT,Ils recommencent !
ARTHUR,Bah évidemment !
HERVEIG,« Pour le fauteuil. »
ARTHUR,Merde mais vous êtes une vraie bille en drapeaux !
HERVEIG,Pour le siège ! « Nous sommes prêts pour le siège ! »
LÉODAGAN,Pour le siège ?
HERVEIG,Ils entendent rien…
BOHORT,Mais qu’est-ce que vous faites ?
LÉODAGAN,Arrêtez vos conneries ! C’est pas le moment de les mettre de travers !
BOHORT,Les troupes ennemies avancent vers le château !
LÉODAGAN,Il s’est encore planté dans le code !
BOHORT,Ils se rapprochent !
BOHORT,Le porte-drapeaux ennemi nous fait des signes !
HERVEIG,« On va vous apprendre à nous traiter de gros péquenauds. »
LÉODAGAN,C’est ça que vous leur avez dit ?
BOHORT,Ils tirent !
GAUVAIN,Mais… Yvain !
DAME SÉLI,Monsieur est vexé.
YVAIN,Pas du tout.
LÉODAGAN,Vexé de quoi ?
DAME SÉLI,Le Roi part en mission avec son copain Gauvain et lui n’est pas convié. Alors il boude.
YVAIN,Je fais pas la tronche.
ARTHUR,J’ai promis à mon neveu que je l’emmènerai en mission. Ça fait des mois que je lui dis…
LÉODAGAN,Vous aurez déjà bien assez d’un glandu à gérer…
YVAIN,Super… C’est vraiment sympa de soutenir !
DAME SÉLI,Il vous emmènera une autre fois… chacun son tour !
YVAIN,Moi aussi…
ARTHUR,Mais pas du tout…
YVAIN,Je suis le frère de la Reine.
YVAIN,Non non mais c’est bon d’façon…
ARTHUR,Mais je peux pas vous aider ! Il faut que je fasse le pet ici pendant que vous prenez les trucs de valeur ! Dépêchez-vous !
GAUVAIN,Un… Deux… Trois… Quatre…
GAUVAIN,Ce coffre-ci me semble encore plus rouillé que le précédent !
ARTHUR,Oh mais c’est pas vrai ! Cassez les serrures avec votre dague ! Je vous dis qu’il faut qu’on se barre ! J’ai l’impression que j’entends des pas qui approchent !
ARTHUR,Mais on s’en fout ! Je vous en donnerai une autre ! Pétez-moi ces putains de serrures et cassons-nous !
GAUVAIN,Mon oncle ! Il y a un cadavre par terre !
ARTHUR,Il va bientôt y en avoir deux de plus si vous vous grouillez pas !
GAUVAIN,Il tient quelque chose dans la main !
ARTHUR,C’est quoi ?
GAUVAIN,Je tente de lui ôter mais le bougre s’accroche à son bien !
ARTHUR,Tirez plus fort !
GAUVAIN,Ça y est !
GAUVAIN,C’est probablement avec ça que le pauvre homme a pris son dernier repas…
ARTHUR,Ouvrez les coffres tout de suite.
GAUVAIN,Mon oncle ?
ARTHUR,Quoi ?
ARTHUR,Alors ?
ARTHUR,Non mais je m’en fous ! Dites-moi ce qu’il y a dedans !
ARTHUR,Mais… il y en a d’autres ?
ARTHUR,C’est ça ! Magnez-vous le tronc !
GAUVAIN,Mon oncle ! Est-ce que je tente d’ouvrir le coffre d’à côté ?
GAUVAIN,Peut-être que si je force dans ce sens-là…
GAUVAIN,Aaaaah ! Aaaah !
ARTHUR,Qu’est-ce qui se passe ? Qu’est-ce qui se passe ! Le coffre est piégé ?
LÉODAGAN,Après ce qu’il nous a bassiné ?
GUENIÈVRE,Vous savez faire des tours de magie ?
ARTHUR,Bien sûr.
GUENIÈVRE,Vous pouvez m’en faire un ?
GUENIÈVRE,Comment ?
GUENIÈVRE,Ça y est…
ARTHUR,C’est laquelle ?
GUENIÈVRE,Je sais pas moi… Le cinq de bâtons…
ARTHUR,Et voilà.
ARTHUR,Non mais je m’en souviens de la fois où il y avait de la neige mais c’était pas du tout à cette époque de l’année !
LÉODAGAN,Ça fait un an. À deux-trois jours près.
ARTHUR,Mais non. Ça fait au moins deux mois de plus.
LÉODAGAN,Ah non mais vous êtes quand même gonflé !
MERLIN,Non mais je vous explique…
LÉODAGAN,Je me demande vraiment ce qui me retient de pas vous faire couper les mains…
MERLIN,Boum ! le sort est parti tout seul… Il se trouve que vous passiez devant ma lucarne juste à ce moment-là… C’est quand même pas de bol !
MERLIN,Ça prend pas forcément la même forme selon sur qui ça tombe… C’est un peu aléatoire.
ARTHUR,Allons bon. Et il fait quoi ?
MERLIN,C’est un sort qui accélère la pousse des plantes.
ARTHUR,Vous êtes vraiment un nul.
LÉODAGAN,C’est ça. Et je rajouterai que toute remarque désobligeante – notamment sur la couleur – est vivement déconseillée.
GALESSIN,Je voudrais pas la ramener mais la mission nocturne de demain…
LÉODAGAN,Quoi… ?
GALESSIN,Ben elle m’a tout l’air d’être annulée !
BOHORT,C’est-à-dire qu’il s’agissait plus ou moins d’effectuer une manœuvre d’approche furtive…
CALOGRENANT,Ouais… J’ai l’impression qu’il y en a parmi nous qui seraient un peu à la rame sur le furtif…
GALESSIN,Il y en a qui pourraient se faire des sous en montant un petit stand sur la place du marché…
ARTHUR,Alors ?
ARTHUR,Et merde.
KARADOC,Qu’est-ce qui vous prend ? Vous êtes marteau ?
TORRI,J’étais ! Il y a eu du changement.
KARADOC,Du changement ?
TORRI,De la promotion. Figurez-vous que je viens de passer intendante.
KARADOC,Ah bon. Vous êtes plus bonniche ?
KARADOC,Les stocks de vivres ?
KARADOC,Mais vous pouvez pas faire ça ! Il y a outrage !
TORRI,Outrage à quoi ?
KARADOC,Mais je suis Chevalier ! Vous avez pas le droit de m’interdire de bouffer !
TORRI,Rien ne vous empêche de vous constituer un stock personnel dans votre chambre avec des produits que vous achetez vous-même !
TORRI,Pas un croûton de pain ne sortira du stock en dehors des heures de préparation des repas.
ARTHUR,Vous sauver de quoi ?
KARADOC,Mais de l’hypolipémie !
ARTHUR,De quoi ?
KARADOC,J’ai plus de gras dans le sang ! Je vais me mettre à peler et à perdre mes cheveux !
ARTHUR,Tiens… vous êtes pas la bonniche qui nettoie les piaules ?
TORRI,Comme j’expliquais au Seigneur Ka…
KARADOC,C’est cette machine-là qui s’est mis en tête de bloquer la bectance ! Faites quelque chose ou je bousille tout là-dedans !
KARADOC,En cas de siège…
TORRI,Quoi ? Sire !
KARADOC,J’en ai rien à foutre ! Assassins ! Assassins ! Assassiiiiiiiiiiiins !
TORRI,Ah ! Vous voyez bien !
ARTHUR,Oui mais je sais pas si c’est un morceau de saucisson qui va faire la différence en cas de siège !
TORRI,Le Seigneur Karadoc se prépare quatre collations par nuit…
TORRI,Ah bon ?
ARTHUR,Voilà.
TORRI,Qu’est-ce que vous faites ?
LÉODAGAN,Comment ça qu’est-ce que je fais ?
LÉODAGAN,Ah !
LÉODAGAN,Ben quoi ? C’est une forêt !
LANCELOT,Il paraît qu’on s’y perd en moins de deux.
LANCELOT,Pause !
CALOGRENANT,Quoi ?
LANCELOT,Pause !
CALOGRENANT,Pour quoi faire ?
LANCELOT,Parce que j’en ai plein les bottes ! J’ai des épines dans les pieds !
CALOGRENANT,Quoi ?
LANCELOT,Je m’arrête cinq minutes !
LANCELOT,Eh ben prévenez !
CALOGRENANT,Sire ! Il y a Lancelot qui avance plus !
CALOGRENANT,Arthur me demande pourquoi on s’arrête !
LANCELOT,J’ai des épines dans les pieds !
CALOGRENANT,Sire ! Il a des épines dans les pieds !
CALOGRENANT,Il dit que c’est dangereux de s’arrêter !
LÉODAGAN,Comment ça se fait que ça tire plus ?
LANCELOT,Je me suis arrêté ! J’ai des épines dans les pieds !
LANCELOT,Pause !
CALOGRENANT,Quoi ?
LANCELOT,Pause !
ARTHUR,Qu’est-ce qui se passe ?
CALOGRENANT,Pour quoi faire ?
ARTHUR,De quoi « pour quoi faire » ?
LANCELOT,Parce que j’en ai plein les bottes ! J’ai des épines dans les pieds !
CALOGRENANT,Quoi ?
ARTHUR,Mais quoi « quoi » ?
LANCELOT,Je m’arrête cinq minutes !
ARTHUR,Évidemment que ça tire !
LANCELOT,Eh ben prévenez !
CALOGRENANT,Sire ! Il y a Lancelot qui avance plus !
CALOGRENANT,Arthur me demande pourquoi on s’arrête !
LANCELOT,J’ai des épines dans les pieds !
CALOGRENANT,Sire ! Il a des épines dans les pieds !
ARTHUR,J’en ai rien à foutre ! Il se lève et on avance !
CALOGRENANT,Il dit que c’est dangereux de s’arrêter !
LANCELOT,Je me suis arrêté ! J’ai des épines dans les pieds !
CALOGRENANT,Quoi ?
ARTHUR,Mais qu’est-ce qui se passe ?
CALOGRENANT,Pour quoi faire ?
ARTHUR,Mais comment « pour quoi faire ? »
CALOGRENANT,Quoi ?
ARTHUR,Mais quoi « quoi » ?
ARTHUR,Évidemment que ça tire !
CALOGRENANT,Sire ! Il y a Lancelot qui avance plus !
CALOGRENANT,Arthur me demande pourquoi on s’arrête !
CALOGRENANT,Sire ! Il a des épines dans les pieds !
ARTHUR,J’en ai rien à foutre ! Il se lève et on avance !
CALOGRENANT,Il dit que c’est dangereux de s’arrêter !
LÉODAGAN,Bah… Comment ça se fait que ça tire plus ?
LANCELOT,Je me suis arrêté ! J’ai des épines dans les pieds !
LÉODAGAN,Hé ! J’ai le temps de pisser ou pas ?
PERCEVAL,Je le dis pas.
KARADOC,Pourquoi ?
ARTHUR,Oui mais je m’y attends.
ARTHUR,Ah oui ?
PERCEVAL,Moi je dirais plutôt que ça dépend qui.
ARTHUR,C’est-à-dire ?
ARTHUR,Non mais pourquoi vous dites ça ? C’est complètement con !
PERCEVAL,Et c’est pour ça que vous m’aimez pas ?
ARTHUR,Mais absolument pas !
PERCEVAL,Vous m’aimez ?
ARTHUR,Mais… « Je vous aime… »
PERCEVAL,Oui ou non ?
ARTHUR,Mais j’en sais rien !
ARTHUR,Non mais c’est compliqué comme réponse !
PERCEVAL,Ah bah voilà.
ARTHUR,J’ai dit « mettons » !
ARTHUR,Mais qu’est-ce qui peut bien se manigancer dans votre tronche pour vous pointer avec des idées pareilles… ?
PERCEVAL,Mais Sire…
ARTHUR,Asseyez-vous ou vous mangez une tarte.
ARTHUR,Ah. Et pourquoi vous êtes là ?
ARTHUR,Et c’est la première fois ?
PERCEVAL,Non.
ARTHUR,Avec quel autre Chevalier je déjeune seul à seul ?
PERCEVAL,Ben… Je sais plus…
ARTHUR,Aucun.
PERCEVAL,Aucun ?
ARTHUR,Aucun. Vous êtes le seul.
PERCEVAL,Ah ? Mais… comment ça se fait ?
ARTHUR,Mais sinon… je vous aime.
ARTHUR,Ça va ? Vous avez pas l’air à votre aise…
LÉODAGAN,Quel rapport avec la pleine lune ?
KARADOC,Ben… c’est nostalgique.
ARTHUR,Heu… votre relais gastronomique qui est sur la route côtière ?
GUETHENOC,Celui-là même !
GUETHENOC,Bref ! Tous les touristes me demandent sans arrêt de leur servir le plat national.
ARTHUR,Le plat national ?
GUETHENOC,Mais justement : il y en a pas !
GUETHENOC,Vous en avez décrété un ?
ROPARZH,On vient déjà pour le concept.
ARTHUR,Le concept du plat national ?
ARTHUR,Ah bah c’est pour ça que ça pue !
ROPARZH,Vous avez des goûts de bourgeois !
GUETHENOC,Avec ce qu’on a ! Et je vous signale en passant qu’on fait les meilleures pommes du monde !
ARTHUR,Eh ben le voilà votre plat national ! La compote !
GUETHENOC,Quoi ? Vous continuez de vous payer notre gueule ?
GUETHENOC,On tourne vite en rond.
KARADOC,Comment « on bute Karadoc » ?
GUETHENOC,On est sur un projet de plat national.
ROPARZH,Il nous manque le concept.
ARTHUR,Voilà les produits locaux. Je suis sûr que vous pouvez trouver quelque chose.
GUETHENOC,On devrait l’appeler le « Karadoc » !
KARADOC,Tenez. Du sur mesure !
KARADOC,Vous laissez pas impressionner par le volume. Concentrez-vous sur le sens.
LÉODAGAN,Le sens de la tartine ?
LÉODAGAN,Il y a trop de trucs… J’arrive pas à reconnaître ce que je bouffe…
KARADOC,C’est pas normal…
LANCELOT,Qui c’était ?
ARTHUR,Je sais plus. J’arrive pas à me souvenir.
LANCELOT,Seigneur Bohort ? Mais qu’est-ce qui se passe ?
BOHORT,Kaamelott est bourré jusqu’aux greniers d’individus menaçants qui marchent dans les couloirs au beau milieu de la nuit en quête d’un personnage emblématique à assassiner !
LANCELOT,Un personnage emblématique ?
BOHORT,Vous me proposez d’entrer ?
LANCELOT,Peut-être parce que ça vous arrive trop souvent…
BOHORT,Ce n’est pas facile d’affirmer sa sensibilité dans un environnement où elle passerait à coup sûr pour de la faiblesse…
LANCELOT,Vous devez tout simplement choisir à qui vous vous autorisez à la dévoiler. Quelqu’un de confiance…
LANCELOT,La confiance est une des choses les plus nobles au monde. Je suis flatté.
BOHORT,Eh bien voilà : je n’ai jamais reçu la moindre éducation militaire.
LANCELOT,Grands Dieux…
LANCELOT,Vous n’avez pas fait vos classes ?
LANCELOT,Et je vous aiderai à récupérer votre retard. Nous nous organiserons nos petits entraînements clandestins.
LANCELOT,Si… Je suis amoureux de la Reine.
ARTHUR,Seigneur Lancelot ? Je peux vous parler une minute ?
LANCELOT,Bien sûr…
LANCELOT,Vous voulez dire que… Bohort…
LANCELOT,Lui qui avait juré de se taire ! Je vais l’égorger !
LANCELOT,Je suppose que vous allez me bannir de Kaamelott…
LANCELOT,Ah mais c’est ça ! Ah mais non je croyais que vous parliez de…
ARTHUR,De quoi ?
LANCELOT,De rien.
ARTHUR,Je vous dérange pas ?
ARTHUR,Et il paraît aussi que vous avez tout foiré et qu’on peut plus rien y faire…
ARTHUR,Vous voulez m’en parler un peu ?
ARTHUR,Ça change pas tellement le sens !
ARTHUR,Non mais ça change pas le sens de la phrase…
ARTHUR,Quoi ?
ARTHUR,Quoi ?
ARTHUR,J’ai rien compris…
ARTHUR,Ça le rassure d’être un nul ?
ARTHUR,Non. Vous êtes tombé sur une personne peu précise qui utilise des termes fluctuants comme les points cardinaux…
PERCEVAL,Quels cardinaux ?
ARTHUR,Le Nord et le Sud…
ARTHUR,Vous êtes un gros nul. D’accord ? Un vrai gros naze ! Ça va mieux ?
ARTHUR,Que vous étiez daubé.
PERCEVAL,Ah bon.
ARTHUR,Voilà. Vous arriverez jamais à rien.
ARTHUR,Mais ça dure des plombes !
CAIUS,Ça dure des plombes parce que vous bougez !
PERCEVAL,J’ai décidé de plus les couper. Je me lance.
ARTHUR,Vous vous lancez dans quoi ?
PERCEVAL,Ben dans le cheveu vraiment long.
PERCEVAL,Me rafraîchir la nuque ? Quel rapport avec les cheveux ?
ARTHUR,Hé… qu’est-ce que c’est les machins noirs par terre ?
ARTHUR,Quoi « les cheveux » ?
CAIUS,Ben c’est les vôtres !
ARTHUR,Les miens ? Mais vous vous foutez de moi ! Passez-moi un miroir !
ARTHUR,Ah ! Mais c’est pas vrai ! Qu’est-ce que vous avez foutu ?
PERCEVAL,C’est court mais c’est bien égalisé.
ARTHUR,Égalisé… mais regardez-moi cette tête de con que vous m’avez faite ! On dirait vous !
PERCEVAL,Il me semble que ça fait plus jeune.
ARTHUR,Mais on s’en fout !
ARTHUR,La ferme !
ARTHUR,Mais la question n’est pas là !
ARTHUR,Zuuuut !
ARTHUR,Excalibur.
ARTHUR,Non.
ARTHUR,Je vais quand même pas me mettre des faux cheveux…
CAIUS,Vous avez qu’à dire que c’est la nouvelle loi. Tout le monde cheveux courts…
ARTHUR,Quel grand ?
CAIUS,Le magicien…
ARTHUR,Merlin ? C’est pas mon pote. C’est même pas un magicien…
CAIUS,Il a rien pour faire pousser les cheveux ?
PERCEVAL,C’est passé à ça de la quiquette ! J’ai encore la cicatrice…
CAIUS,Soyez pas trop difficile non plus !
CAIUS,Avant ? Lequel ?
CAIUS,Celui-là ?
PERCEVAL,Ouais voilà.
PERCEVAL,Ah mais c’est pour le porter tous les jours ?
PERCEVAL,Je croyais que c’était pour faire une blague à quelqu’un…
ARTHUR,Je veux dire… on gère.
ARTHUR,Ça nous préoccupe. Voilà.
LANCELOT,Essayez de vous mettre un peu à leur place…
ARTHUR,Est-ce qu’on est sûrs qu’ils exagèrent pas un peu ?
ARTHUR,Ils bousillent les vaches ?
ARTHUR,Ça me gonfle les discours au peuple…
LANCELOT,Ouais… et comme ils vont bien être cinq mille devant la tribune…
ARTHUR,Vous me prenez pour un manche.
ARTHUR,La situation est préoccupante. Les attaques incessantes de ces dernières semaines… (pris d’un doute) Vous savez ce que ça veut dire « préoccupante » ou pas ?
ARTHUR,…préoccupante. Les attaques incessantes de ces dernières semaines nous ont laissés passablement affaiblis.
LANCELOT,C’est un tout…
ARTHUR,Nous allons contre-attaquer ! Et nous allons contre-attaquer fort !
YVAIN,La source sera coupée à la racine ?
GAUVAIN,Non…
ARTHUR,Vous pouvez fermer vos gueules ?
ARTHUR,Vous avez peur pour vos frères ! Vous avez peur pour vos femmes !
ARTHUR,C’est quand même pas des flèches…
LANCELOT,S’il vous plaît ! S’il vous plaît !
ARTHUR,Pourquoi quoi ?
LANCELOT,Pourquoi est-ce qu’on a besoin de fonds ?
ARTHUR,Parce qu’on est raides !
LANCELOT,Non mais il y avait pas un autre truc ? Vous vouliez pas construire je sais pas quoi ?
LANCELOT,Je croyais.
CALOGRENANT,Oubliez pas de leur dire que ceux qui payent pas seront pendus !
LANCELOT,C’est pas ça mais vous venez trois fois par semaine pour nous parler d’argent !
LANCELOT,Dans la salle des coffres !
ARTHUR,Attendez une seconde… (à Lancelot) C’est Léodagan qui a descendu le sac ?
LANCELOT,J’ai confiance !
LÉODAGAN,Quel bracelet ?
ARTHUR,Celui que vous a confié Lancelot.
LÉODAGAN,Lancelot m’a confié un bracelet ? Première nouvelle !
LÉODAGAN,Non mais vous allez me gonfler jusqu’à quand avec votre bracelet ? Je vous dis que je l’ai jamais vu !
ARTHUR,Non mais ça pourrait venir… (à Léodagan) C’est pas vous qui descendez les sacs aux retours de quêtes ?
LÉODAGAN,Quel tri ?
LÉODAGAN,Non mais c’est pas croyable d’entendre ça !
CALOGRENANT,Seigneur Lancelot ?
LANCELOT,J’arrive ! J’arrive !  * Le symbole † indique qu’il s’agit d’un Chevalier de la Table Ronde.
CALOGRENANT,Sire ! Tout va bien ?
ARTHUR,Rien de particulier pendant mon absence ?
ARTHUR,Des nouvelles de Lancelot ?
ARTHUR,Vous déconnez ?
CALOGRENANT,Silence complet.
ARTHUR,Mais quelqu’un l’a aperçu quelque part ?
ARTHUR,C’est pas vrai… J’espère qu’il lui est rien arrivé !
CALOGRENANT,Heu… Sire…
ARTHUR,Quoi ?
CALOGRENANT,Je sais pas comment vous dire ça… Il y a un bruit qui commence à courir dans la région…
ARTHUR,Quel bruit ?
ARTHUR,Quoi ?
LANCELOT,Quoi ?
